id,drag,drag_test,lift,lift_test,vtk_type
06391,443.2271423339844,458.586181640625,312.6302185058594,317.0970458984375,vtk_E
06393,578.49560546875,534.8392333984375,327.7637939453125,427.63531494140625,vtk_E
06394,702.762939453125,558.4761352539062,193.064453125,155.1116180419922,vtk_E
06395,489.78948974609375,510.64532470703125,88.37921142578125,255.50729370117188,vtk_E
06398,559.8543701171875,570.500244140625,226.36566162109375,178.0076446533203,vtk_E
06399,779.8969116210938,305.6566467285156,82.29652404785156,321.2215576171875,vtk_E
06400,608.6163940429688,531.5179443359375,285.31304931640625,200.65428161621094,vtk_E
06401,565.9277954101562,539.635498046875,232.9532470703125,328.0945739746094,vtk_E
06405,453.0506896972656,469.9645690917969,199.18785095214844,174.7251434326172,vtk_E
06406,421.7918701171875,441.3902282714844,159.00631713867188,350.9217529296875,vtk_E
06408,614.5196533203125,541.7868041992188,214.7660675048828,188.05921936035156,vtk_E
06409,464.6127014160156,494.05224609375,201.7251434326172,300.4669189453125,vtk_E
06410,632.182861328125,517.7576904296875,259.537109375,285.10833740234375,vtk_E
06411,445.5325622558594,490.9110107421875,235.81129455566406,273.78558349609375,vtk_E
06414,605.298828125,503.5718994140625,129.79736328125,161.41867065429688,vtk_E
06415,600.9485473632812,548.8992919921875,151.58033752441406,160.02508544921875,vtk_E
06416,444.41876220703125,481.45452880859375,226.80340576171875,286.3904113769531,vtk_E
06417,879.1116943359375,133.589599609375,128.83665466308594,437.2578125,vtk_E
06418,475.3310546875,501.27813720703125,202.93247985839844,235.72048950195312,vtk_E
06420,618.9296264648438,532.5227661132812,87.92031860351562,191.84654235839844,vtk_E
06421,557.0337524414062,541.6156005859375,147.23255920410156,66.71334075927734,vtk_E
06424,521.18212890625,533.3685302734375,214.73817443847656,235.68453979492188,vtk_E
06426,532.2589111328125,549.9288940429688,230.63807678222656,191.96951293945312,vtk_E
06428,659.1689453125,591.1416625976562,91.85250854492188,267.05059814453125,vtk_E
06429,759.49072265625,346.09747314453125,-32.96274948120117,67.53793334960938,vtk_E
06430,556.7294921875,549.315185546875,215.00843811035156,105.40821838378906,vtk_E
06431,636.8851928710938,584.5846557617188,236.35443115234375,184.5644073486328,vtk_E
