,BO,CMA-ES,GA,Islands (GA),L-BFGS-B,LLM (v3),OpenEvolve,Shinka
0.0,0.36363636363636365,0.6842105263157895,0.2916666666666667,0.0,0.15714285714285714,0.21686746987951808,0.0,0.125
0.005025125628140704,0.4318181818181818,0.6842105263157895,0.3472222222222222,0.0,0.15714285714285714,0.2891566265060241,0.0,0.125
0.010050251256281407,0.45454545454545453,0.6842105263157895,0.3611111111111111,0.0,0.15714285714285714,0.30120481927710846,0.0,0.125
0.01507537688442211,0.4659090909090909,0.6842105263157895,0.3611111111111111,0.0,0.15714285714285714,0.30120481927710846,0.0,0.125
0.020100502512562814,0.4772727272727273,0.7368421052631579,0.4027777777777778,0.0,0.15714285714285714,0.3132530120481928,0.0,0.125
0.02512562814070352,0.4772727272727273,0.7368421052631579,0.4166666666666667,0.0,0.17142857142857143,0.3132530120481928,0.0,0.125
0.03015075376884422,0.4772727272727273,0.7368421052631579,0.4166666666666667,0.0,0.17142857142857143,0.3132530120481928,0.0,0.125
0.035175879396984924,0.4772727272727273,0.7368421052631579,0.4305555555555556,0.0,0.17142857142857143,0.3253012048192771,0.0,0.125
0.04020100502512563,0.48863636363636365,0.7368421052631579,0.4305555555555556,0.0,0.17142857142857143,0.3253012048192771,0.0,0.125
0.04522613065326633,0.5,0.7368421052631579,0.4305555555555556,0.0,0.17142857142857143,0.3253012048192771,0.0,0.125
0.05025125628140704,0.5227272727272727,0.7368421052631579,0.4444444444444444,0.0,0.17142857142857143,0.3373493975903614,0.0,0.125
0.05527638190954774,0.5227272727272727,0.7368421052631579,0.4444444444444444,0.0,0.18571428571428572,0.3373493975903614,0.0,0.125
0.06030150753768844,0.5227272727272727,0.7368421052631579,0.4444444444444444,0.0,0.18571428571428572,0.3373493975903614,0.018518518518518517,0.125
0.06532663316582915,0.5227272727272727,0.7368421052631579,0.4444444444444444,0.0,0.18571428571428572,0.3373493975903614,0.018518518518518517,0.125
0.07035175879396985,0.5227272727272727,0.7368421052631579,0.4444444444444444,0.0,0.18571428571428572,0.3373493975903614,0.018518518518518517,0.125
0.07537688442211056,0.5227272727272727,0.7368421052631579,0.4444444444444444,0.0,0.18571428571428572,0.3373493975903614,0.018518518518518517,0.125
0.08040201005025126,0.5227272727272727,0.7368421052631579,0.4444444444444444,0.0,0.18571428571428572,0.3373493975903614,0.018518518518518517,0.125
0.08542713567839195,0.5227272727272727,0.7368421052631579,0.4444444444444444,0.0,0.18571428571428572,0.3373493975903614,0.037037037037037035,0.125
0.09045226130653267,0.5340909090909091,0.7368421052631579,0.4444444444444444,0.0,0.18571428571428572,0.3373493975903614,0.037037037037037035,0.125
0.09547738693467336,0.5340909090909091,0.7368421052631579,0.4583333333333333,0.0,0.18571428571428572,0.3373493975903614,0.037037037037037035,0.125
0.10050251256281408,0.5340909090909091,0.7368421052631579,0.4583333333333333,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.125
0.10552763819095477,0.5340909090909091,0.7368421052631579,0.4583333333333333,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.125
0.11055276381909548,0.5340909090909091,0.7368421052631579,0.4583333333333333,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.125
0.11557788944723618,0.5340909090909091,0.7368421052631579,0.4583333333333333,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.125
0.12060301507537688,0.5340909090909091,0.7368421052631579,0.4861111111111111,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.125
0.12562814070351758,0.5340909090909091,0.7368421052631579,0.4861111111111111,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.15
0.1306532663316583,0.5454545454545454,0.7368421052631579,0.4861111111111111,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.15
0.135678391959799,0.5454545454545454,0.7368421052631579,0.4861111111111111,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.15
0.1407035175879397,0.5454545454545454,0.7368421052631579,0.4861111111111111,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.15
0.1457286432160804,0.5454545454545454,0.7368421052631579,0.4861111111111111,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.15
0.15075376884422112,0.5454545454545454,0.7368421052631579,0.4861111111111111,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.15
0.15577889447236182,0.5568181818181818,0.7368421052631579,0.4861111111111111,0.0,0.18571428571428572,0.3373493975903614,0.05555555555555555,0.15
