id,frontalArea(m^2)
00001,2.749496394682934
00002,1.698667750792888
00003,2.3307041500319
00004,1.9796614250705562
00006,1.8113308884213077
00007,1.8282549262606995
00009,2.078175591121469
00010,2.4033314408895965
00011,2.470393676063381
00012,1.39939733679414
00015,1.8862405185953666
00017,2.6051827310901947
00018,2.3240380697033363
00022,1.7594673472145486
00023,1.9866544677373192
00024,1.9955272622360587
00026,2.20984455257745
00027,1.7688508905257136
00029,1.8446769885600982
00040,1.8515026413118394
00041,1.7765562965427815
00044,1.4331059426388473
00047,1.7214470911077782
00049,1.393021948268983
00050,1.4711974324602932
00051,1.6779741794316896
00052,1.7779996724420222
00054,1.6106662775958762
00056,1.8116940372891108
00057,2.6429319204900077
00058,1.713081595757961
00060,2.9607446936635746
00071,2.597920036154035
00072,1.566159117332943
00073,1.6340072422015395
00074,2.000130476419458
00075,2.0367642619097257
00078,1.3210743736394543
00079,1.8418660636262147
00080,2.7627368812674344
00083,2.3894658818469154
00084,1.9360527006137611
00085,3.0451122881453294
00086,2.5108427822987878
00087,1.717939427411632
00089,1.7086252101072361
00090,2.3230530734294517
00091,1.7795150143677219
00092,1.4330932132347274
00093,2.185695513678036
00094,1.6476228785308893
00095,2.3126782001684223
00096,1.4129097489826532
00098,1.6605135692803685
00099,2.8239395391453743
00101,1.553846512262184
00102,1.7753347821889915
00103,1.9632395023844753
00105,2.3560655313712937
00106,2.4184111299311017
00107,2.6354864312268154
00108,1.9556596776323143
00109,1.6737165859111944
00112,1.900429836301351
00115,1.6413020967955712
00118,1.5567335743749684
00119,2.2081430676691025
00121,1.5020344324766752
00122,2.426954186932435
00124,1.9006826510561816
00126,2.8086355009422554
00127,1.4932034474422862
00128,2.4290807069452836
00129,2.892507414339157
00130,1.529120204581397
00131,2.6123345281408437
00133,2.6889298440172626
00136,1.9487605180211227
00138,1.8556241145415386
00141,2.124231893711255
00142,2.7398409323221204
00143,1.8402250079896725
00144,1.6769714092662924
00145,2.605004415064162
00146,2.091723492412936
00147,1.4784015645584758
00148,1.3234481219541845
00150,1.4908614313275004
00151,2.309274593269665
00153,2.179796440113247
00155,1.8744699461979764
00162,1.918022164019516
00163,2.076179454677483
00164,1.827228465214416
00166,2.18359146234998
00170,1.767801172235329
00171,1.3877072212691424
00174,1.4226559021020502
00175,1.516674663584246
00180,2.4901275801150633
00181,1.609822027087664
00182,2.3998861430482687
00184,1.6551472670970773
00185,1.9320491001742277
00187,2.755142602050755
00188,2.2767884474087063
00189,1.8608609270000986
00190,1.4476510619365552
00191,2.457879693249924
00192,1.7592182830713787
00193,2.163124692732832
00194,1.631384586866614
00196,2.5944448438509937
