epoch,step,train_loss,train_loss_drag,train_loss_lift,train_loss_press,train_loss_wss,val_loss,val_loss_drag,val_loss_lift,val_loss_press,val_loss_wss
0,2999,,,,,,0.41097766160964966,0.12526251375675201,6.868434906005859,0.4108641743659973,0.7979998588562012
0,2999,0.42845919728279114,0.15493647754192352,1.8868149518966675,0.4283525049686432,0.795738697052002,,,,,
1,5999,,,,,,0.34048545360565186,0.10733454674482346,3.204413890838623,0.34037408232688904,0.705727756023407
1,5999,0.34360212087631226,0.10089429467916489,1.6219933032989502,0.3434910774230957,0.7233550548553467,,,,,
2,8999,,,,,,0.3490099310874939,0.06307155638933182,7.327066898345947,0.34890827536582947,0.7000414729118347
2,8999,0.3222652077674866,0.08887141942977905,1.3281574249267578,0.3221617341041565,0.6819162368774414,,,,,
3,11999,,,,,,0.34394052624702454,0.06835535168647766,1.3253204822540283,0.3438422381877899,0.6761190891265869
3,11999,0.30942097306251526,0.08604619652032852,1.1447393894195557,0.30931851267814636,0.667672872543335,,,,,
4,14999,,,,,,0.3324197232723236,0.05004299804568291,1.7914286851882935,0.33231669664382935,0.6700103878974915
4,14999,0.2993723452091217,0.07732822000980377,1.1952064037322998,0.29926156997680664,0.6728296875953674,,,,,
5,17999,,,,,,0.3183732032775879,0.052458520978689194,2.507899284362793,0.31826478242874146,0.6637973785400391
5,17999,0.2933422029018402,0.07486095279455185,1.0947495698928833,0.2932286262512207,0.6722393035888672,,,,,
6,20999,,,,,,0.3016505241394043,0.07138609886169434,1.5338020324707031,0.3015366494655609,0.677744448184967
6,20999,0.2874000370502472,0.0732254758477211,0.8805025815963745,0.2872839868068695,0.6693338751792908,,,,,
7,23999,,,,,,0.3268812298774719,0.05773487687110901,2.0865633487701416,0.32678115367889404,0.679079532623291
7,23999,0.28297099471092224,0.07126405090093613,0.8908208012580872,0.28285354375839233,0.6653361320495605,,,,,
8,26999,,,,,,0.29968973994255066,0.04354499652981758,1.488520860671997,0.2995733618736267,0.6445325016975403
8,26999,0.2795858383178711,0.06771102547645569,0.9334701299667358,0.2794686555862427,0.6633684635162354,,,,,
9,29999,,,,,,0.2946830689907074,0.06350585073232651,1.1184042692184448,0.2945672571659088,0.6516481637954712
9,29999,0.27696970105171204,0.06857197731733322,0.9469519257545471,0.2768521010875702,0.6610161662101746,,,,,
10,32999,,,,,,0.3163411319255829,0.06500697135925293,1.9052252769470215,0.31625184416770935,0.6427971124649048
10,32999,0.2741636633872986,0.0676824077963829,0.942044198513031,0.27404648065567017,0.657957911491394,,,,,
11,35999,,,,,,0.303160697221756,0.07175058871507645,1.5896906852722168,0.30307435989379883,0.624362051486969
11,35999,0.27169013023376465,0.06660182774066925,0.9535394906997681,0.27158501744270325,0.6348295211791992,,,,,
12,38999,,,,,,0.3121829330921173,0.06727482378482819,4.248423099517822,0.3120962083339691,0.6114187836647034
12,38999,0.2699551284313202,0.06534014642238617,0.820813775062561,0.2698574960231781,0.6187241077423096,,,,,
13,41999,,,,,,0.28651025891304016,0.04755489528179169,1.6371033191680908,0.28641700744628906,0.6072077751159668
13,41999,0.2671063542366028,0.0615963377058506,0.8798019289970398,0.267008900642395,0.6147974729537964,,,,,
14,44999,,,,,,0.2887522876262665,0.09328795224428177,1.7693003416061401,0.2886649966239929,0.6106469035148621
14,44999,0.26566746830940247,0.0636712983250618,0.8783518075942993,0.26556962728500366,0.6150078773498535,,,,,
15,47999,,,,,,0.29778537154197693,0.060913246124982834,2.9176619052886963,0.29770004749298096,0.6168012022972107
15,47999,0.26409441232681274,0.06250787526369095,0.818810224533081,0.26399514079093933,0.6169772744178772,,,,,
16,50999,,,,,,0.31727713346481323,0.06438884139060974,1.622502326965332,0.3171921372413635,0.6153554916381836
16,50999,0.2630600333213806,0.06137598678469658,0.853546142578125,0.2629597783088684,0.6175817847251892,,,,,
17,53999,,,,,,0.29783883690834045,0.07763130217790604,2.2189464569091797,0.2977456748485565,0.6158461570739746
17,53999,0.26122477650642395,0.05964235961437225,0.8090689182281494,0.26112258434295654,0.6184070110321045,,,,,
18,56999,,,,,,0.29121050238609314,0.05658341199159622,2.6794538497924805,0.29111140966415405,0.6322658061981201
18,56999,0.26013240218162537,0.05968126282095909,0.8020178079605103,0.26002955436706543,0.6193589568138123,,,,,
19,59999,,,,,,0.29810601472854614,0.08509934693574905,0.8926311135292053,0.29801830649375916,0.6155133843421936
19,59999,0.2590508460998535,0.05874384567141533,0.8162807822227478,0.2589472532272339,0.6208623647689819,,,,,
20,62999,,,,,,0.30395233631134033,0.1140655130147934,1.4030910730361938,0.3038695156574249,0.6184370517730713
20,62999,0.2579955756664276,0.057740528136491776,0.7883956432342529,0.2578907012939453,0.620823085308075,,,,,
21,65999,,,,,,0.30814337730407715,0.09453387558460236,4.313327312469482,0.3080524802207947,0.6267713308334351
21,65999,0.25715193152427673,0.05792105942964554,0.7521304488182068,0.25704628229141235,0.6216467618942261,,,,,
22,68999,,,,,,0.29785221815109253,0.07421940565109253,2.1008894443511963,0.2977684438228607,0.6106244325637817
22,68999,0.25610387325286865,0.057135824114084244,0.741087794303894,0.25599774718284607,0.6215539574623108,,,,,
23,71999,,,,,,0.3000144064426422,0.10235433280467987,0.7464386224746704,0.29992610216140747,0.6269443035125732
23,71999,0.25519365072250366,0.056536413729190826,0.8199863433837891,0.255086213350296,0.6220161318778992,,,,,
