epoch,step,train_loss,train_loss_drag,train_loss_lift,train_loss_press,train_loss_wss,val_loss,val_loss_drag,val_loss_lift,val_loss_press,val_loss_wss
0,2999,,,,,,0.3454972803592682,0.06723088771104813,2.5629751682281494,0.3453192710876465,0.8193922638893127
0,2999,0.44496220350265503,0.13392376899719238,2.484586000442505,0.444835901260376,0.8527953028678894,,,,,
1,5999,,,,,,0.2981736361980438,0.04747077822685242,1.0139927864074707,0.29796862602233887,0.8063883781433105
1,5999,0.3211054503917694,0.07535616308450699,1.6667921543121338,0.32092440128326416,0.8198015689849854,,,,,
2,8999,,,,,,0.278826504945755,0.047974955290555954,2.5352060794830322,0.2786214351654053,0.7831735014915466
2,8999,0.28732073307037354,0.06111040338873863,1.1765586137771606,0.2871282398700714,0.8009017705917358,,,,,
3,11999,,,,,,0.2679590880870819,0.08386817574501038,0.7129446268081665,0.2677718997001648,0.7509443163871765
3,11999,0.26993703842163086,0.0545894131064415,0.8956367373466492,0.2697499990463257,0.7723358273506165,,,,,
4,14999,,,,,,0.2548333704471588,0.03854082152247429,1.7234485149383545,0.25464338064193726,0.7400417923927307
4,14999,0.25821325182914734,0.05043501779437065,0.8028069138526917,0.2580307722091675,0.7536611557006836,,,,,
5,17999,,,,,,0.24662604928016663,0.05497711896896362,0.8962379097938538,0.24643369019031525,0.7274019122123718
5,17999,0.2507098317146301,0.046826478093862534,0.7129756808280945,0.25052839517593384,0.7448283433914185,,,,,
6,20999,,,,,,0.2428876757621765,0.0725950226187706,0.6644583344459534,0.24269749224185944,0.722586452960968
6,20999,0.24458691477775574,0.04431340470910072,0.7162660956382751,0.2444053739309311,0.7372545003890991,,,,,
7,23999,,,,,,0.24198327958583832,0.04542339965701103,0.49536702036857605,0.24179860949516296,0.7195426821708679
7,23999,0.24011485278606415,0.043620478361845016,0.6647596955299377,0.23993389308452606,0.7312419414520264,,,,,
8,26999,,,,,,0.23777727782726288,0.03536325320601463,0.8316107392311096,0.23759381473064423,0.7062972784042358
8,26999,0.23609812557697296,0.04206806421279907,0.6378039121627808,0.23591788113117218,0.7245839834213257,,,,,
9,29999,,,,,,0.23236244916915894,0.06115845963358879,0.5797889828681946,0.2321743220090866,0.7029629349708557
9,29999,0.2333001047372818,0.04105018824338913,0.633991003036499,0.233119398355484,0.7193463444709778,,,,,
