id,drag,drag_test,lift,lift_test,vtk_type
06391,443.2271423339844,440.6858825683594,312.6302185058594,294.5782165527344,vtk_E
06393,578.49560546875,570.5593872070312,327.7637939453125,289.22802734375,vtk_E
06394,702.762939453125,707.3470458984375,193.064453125,188.8616485595703,vtk_E
06395,489.78948974609375,507.9495849609375,88.37921142578125,162.79904174804688,vtk_E
06398,559.8543701171875,563.0518188476562,226.36566162109375,184.0076446533203,vtk_E
06399,779.8969116210938,779.1632690429688,82.29652404785156,84.36858367919922,vtk_E
06400,608.6163940429688,594.47119140625,285.31304931640625,234.32269287109375,vtk_E
06401,565.9277954101562,568.15625,232.9532470703125,279.46063232421875,vtk_E
06405,453.0506896972656,470.1669006347656,199.18785095214844,186.35691833496094,vtk_E
06406,421.7918701171875,431.1174621582031,159.00631713867188,190.3419952392578,vtk_E
06408,614.5196533203125,606.93017578125,214.7660675048828,172.99295043945312,vtk_E
06409,464.6127014160156,466.5164489746094,201.7251434326172,304.257080078125,vtk_E
06410,632.182861328125,632.9595947265625,259.537109375,195.02291870117188,vtk_E
06411,445.5325622558594,457.71417236328125,235.81129455566406,244.59432983398438,vtk_E
06414,605.298828125,616.7868041992188,129.79736328125,132.1746063232422,vtk_E
06415,600.9485473632812,586.1919555664062,151.58033752441406,124.85498046875,vtk_E
06416,444.41876220703125,456.58270263671875,226.80340576171875,253.0721893310547,vtk_E
06417,879.1116943359375,839.4197387695312,128.83665466308594,178.53807067871094,vtk_E
06418,475.3310546875,480.2277526855469,202.93247985839844,231.65101623535156,vtk_E
06420,618.9296264648438,649.3963623046875,87.92031860351562,118.89862060546875,vtk_E
06421,557.0337524414062,551.1690673828125,147.23255920410156,113.57621002197266,vtk_E
06424,521.18212890625,535.8052978515625,214.73817443847656,203.4859619140625,vtk_E
06426,532.2589111328125,539.465087890625,230.63807678222656,257.5382080078125,vtk_E
06428,659.1689453125,680.0328369140625,91.85250854492188,151.56625366210938,vtk_E
